Dataset Index,Dataset,Dataset Version,Model,Feature Engineering Description,Hyperparameter Description,Avg f1_macro,Std dev between folds,Train-Test Gap,# Columns,Model Complexity,Fit Time
23,strikes,2,kNN,Original Features,n_neighbors=5,0.6211390744828724,0.17475106589098205,0.22116572896166875,6,0,0.0027922630310058595
23,strikes,2,kNN,Original Features,n_neighbors=10,0.6401243391845197,0.17163917011778448,0.16901305834354852,6,0,0.0025934219360351563
23,strikes,2,ikNN,Original Features,default,0.6895398018042664,0.14349786854434873,0.1963920851453258,6,0,0.45099358558654784
24,quake,3,kNN,Original Features,n_neighbors=5,0.51097717886029,0.008699865647236325,0.17030107523039195,3,0,0.003590297698974609
24,quake,3,kNN,Original Features,n_neighbors=10,0.5155440473754853,0.026305754759552113,0.11863882209306764,3,0,0.0035903453826904297
24,quake,3,ikNN,Original Features,default,0.5057702270572365,0.028466037835035023,0.1854941866016907,3,0,0.2349712371826172
25,disclosure_x_bias,2,kNN,Original Features,n_neighbors=5,0.5024392398852033,0.03554213379416865,0.18250115021215352,3,0,0.0021938800811767576
25,disclosure_x_bias,2,kNN,Original Features,n_neighbors=10,0.46239894521382396,0.05020382454333691,0.15893801713065603,3,0,0.001994466781616211
25,disclosure_x_bias,2,ikNN,Original Features,default,0.49715350168745404,0.08144864228843685,0.19056251159347098,3,0,0.09454731941223145
26,fri_c1_500_25,2,kNN,Original Features,n_neighbors=5,0.6328818930409714,0.04207351624938904,0.12004345091843782,25,0,0.0019948482513427734
26,fri_c1_500_25,2,kNN,Original Features,n_neighbors=10,0.6234346537481196,0.040208358591406985,0.05882333114586502,25,0,0.0019945621490478514
26,fri_c1_500_25,2,ikNN,Original Features,default,0.8357561782615915,0.04285752340306481,0.06400076167217839,25,0,1.4018495559692383
27,fri_c2_500_5,2,kNN,Original Features,n_neighbors=5,0.8837277132816258,0.023956575988692125,0.05168709401351024,5,0,0.0021940231323242187
27,fri_c2_500_5,2,kNN,Original Features,n_neighbors=10,0.8775266149551083,0.025141783287438428,0.03795741048105905,5,0,0.002393341064453125
27,fri_c2_500_5,2,ikNN,Original Features,default,0.8539994373240489,0.05122142891316147,0.045732211241648946,5,0,0.281247615814209
28,disclosure_x_tampered,2,kNN,Original Features,n_neighbors=5,0.4762543420721915,0.04269882125070426,0.2218983575484207,3,0,0.0021940231323242187
28,disclosure_x_tampered,2,kNN,Original Features,n_neighbors=10,0.4441111258520241,0.02404586491104115,0.16036380487262764,3,0,0.0023934364318847655
28,disclosure_x_tampered,2,ikNN,Original Features,default,0.5012855636713939,0.05172482818232547,0.1666626716132652,3,0,0.09833712577819824
29,fri_c4_1000_50,2,kNN,Original Features,n_neighbors=5,0.6143309547354632,0.02201079148002947,0.14264269350948022,50,0,0.003590297698974609
29,fri_c4_1000_50,2,kNN,Original Features,n_neighbors=10,0.6025719725867635,0.04482376245124622,0.09705256373142634,50,0,0.0025930404663085938
29,fri_c4_1000_50,2,ikNN,Original Features,default,0.8152909476497708,0.01922045330535888,0.06134013641886249,50,0,3.1980445861816404
30,fri_c0_1000_5,2,kNN,Original Features,n_neighbors=5,0.87285365235163,0.022304708580097025,0.04888320500679022,5,0,0.0033911705017089845
